potential1 (mV vs Hg/HgO),hold1 (s),potential3 (mV vs Hg/HgO),hold2 (s),potential2 (mV vs Hg/HgO),sweep speed (mV/s),cycle (P2-P3),duration (s),duration (h),duration (min)
-1197,926,-693,0,900,119,100,2268.8907563025214,0.6302474323062559,38.0
-501,653,-1401,0,900,419,100,1204.3126491646779,0.3345312914346327,20.0
-544,741,365,0,900,574,100,835.7891986062717,0.23216366627951993,14.0
-956,141,-1719,0,900,955,100,416.0397905759163,0.11556660849331009,7.0
-1804,1618,-1761,0,900,821,100,1942.1693057247257,0.5394914738124238,32.0
554,704,-807,0,900,715,100,944.6447552447553,0.2624013209013209,16.0
641,312,-739,0,900,951,100,485.79600420609887,0.13494333450169413,8.0
-1789,659,-215,0,900,23,59,3587.6521739130435,0.9965700483091787,60.0
-325,922,127,0,900,447,100,1095.9418344519015,0.3044282873477504,18.0
-1445,874,-1599,0,900,443,100,1438.4559819413093,0.39957110609480817,24.0
793,338,-252,0,900,468,100,586.3867521367522,0.1628852089268756,10.0
1105,271,-205,0,900,254,100,711.1968503937009,0.1975546806649169,12.0
86,856,172,0,900,736,100,955.0298913043479,0.2652860809178744,16.0
-76,625,-803,0,900,12,20,3523.9166666666665,0.9788657407407407,59.0
-1795,1364,-25,0,900,212,100,1808.6698113207547,0.5024082809224318,30.0
1142,1611,-301,0,900,979,100,1735.150153217569,0.4819861536715469,29.0
-1679,1342,213,0,900,579,100,1463.9205526770293,0.40664459796584146,24.0
1905,827,-727,0,900,41,68,3589.634146341463,0.9971205962059619,60.0
-1930,1051,76,0,900,86,100,2032.4651162790697,0.5645736434108527,34.0
-1406,1383,358,0,900,557,100,1483.4739676840215,0.41207610213445045,25.0
-1529,353,63,0,900,387,100,573.392764857881,0.15927576801607807,10.0
990,1639,-942,0,900,323,100,2215.2600619195046,0.6153500171998624,37.0
750,1219,-1290,0,900,440,100,1721.3636363636365,0.47815656565656567,29.0
-248,1378,-15,0,900,473,100,1571.938689217759,0.43664963589382194,26.0
890,1394,-1488,0,900,14,11,3440.1428571428573,0.9555952380952382,57.0
711,405,-1374,0,900,723,100,722.4066390041494,0.20066851083448595,12.0
1483,1665,-1737,0,900,70,50,3594.5714285714284,0.9984920634920634,60.0
1249,541,-1573,0,900,914,100,814.656455142232,0.2262934597617311,14.0
-1473,33,-1228,0,900,520,100,442.70192307692304,0.1229727564102564,7.0
1871,1596,-728,0,900,103,100,3201.8155339805826,0.8893932038834952,53.0
